subj,group,corr_mean,corrcl_mean,taskchoice_mean,taskchswi_mean,rtcor_mean,rtcorr_mean,forepcon_mean,forepincon_mean,foswicon_mean,foswiincon_mean,frrepcon_mean,frrepincon_mean,frswicon_mean,frswiincon_mean,err_mean,errforepcon_mean,errforepincon_mean,errfoswicon_mean,errfoswiincon_mean,errfrrepcon_mean,errfrrepincon_mean,errfrswicon_mean,errfrswiincon_mean,fibtaskchswi_mean,sebtaskchswi_mean,thbtaskchswi_mean,fobtaskchswi_mean,errfoconbyswi,baltaskswimean,BIS,BAS,BASr,BASd,BASf,filter_$
32,0,.960843373493976,.961538461538462,.569620253164557,.453333333333333,792.21107266436,755.21582733813,678.612903225806,697.941176470588,740.852941176471,690.58064516129,802.538461538462,765.882352941176,824.378378378378,809.078947368421,.0366666666666667,.0833333333333333,.0555555555555556,0,.111111111111111,0,.0277777777777778,.025,0,.444444444444444,.416666666666667,.461538461538462,.487179487179487,.138888888888889,.452457264957265,25,44,19,12,13,1
34,0,.91566265060241,.935897435897436,.753246753246753,0,1254.13186813187,1198.38490566038,1367.74193548387,1510.75862068966,1400.97058823529,1554.25,941.891891891892,934.333333333333,999.368421052632,974.558823529412,.0586206896551724,.0303030303030303,.171428571428571,0,.131578947368421,.0256410256410256,.108108108108108,0,0,0,0,0,0,-.00954659375712008,0,26,46,16,15,15,0
36,0,.966867469879518,.967948717948718,.624203821656051,.306122448979592,1264.83959044369,1194.02826855124,1056.71428571429,1344.9375,1424.7027027027,1389.5,1090,1125.2,1034.62857142857,1105.83783783784,.0298013245033113,0,.0555555555555556,.0256410256410256,.0789473684210526,0,.0512820512820513,.0263157894736842,0,.5,.179487179487179,.153846153846154,.435897435897436,-.00224921277552857,.317307692307692,23,44,17,12,15,1
38,0,.951807228915663,.951923076923077,.533333333333333,.525925925925926,811.147368421053,783.870036101083,682.235294117647,723.631578947368,679.277777777778,766.28125,861.764705882353,866.972222222222,853.189189189189,846.133333333333,.0371621621621622,.105263157894737,0,.0263157894736842,.0285714285714286,0,.0263157894736842,.0256410256410256,.0882352941176471,.6,.583333333333333,.433333333333333,.487179487179487,.107518796992481,.525961538461538,24,40,18,10,12,1
40,0,.927710843373494,.926282051282051,.503355704697987,.488188976377953,842.39852398524,820.475471698113,735.757575757576,741.264705882353,800.032258064516,731.371428571429,928.733333333333,856.916666666667,879.96875,902.176470588235,.0622837370242215,.0555555555555556,.0540540540540541,.114285714285714,.0277777777777778,.0909090909090909,.025,.0294117647058824,.105263157894737,.321428571428571,.666666666666667,.564102564102564,.366666666666667,-.085006435006435,.479716117216117,25,38,17,12,9,1
42,0,.858433734939759,.858974358974359,.489208633093525,.486238532110092,1007.67796610169,974.868995633188,928.266666666667,1076.96428571429,1003.73333333333,1025.34782608696,974.03125,959.857142857143,928.933333333333,915.5,.116104868913858,.0571428571428571,.147058823529412,.0625,.233333333333333,.0857142857142857,.121212121212121,.0625,.166666666666667,.434782608695652,.464285714285714,.56,.484848484848485,.0809173669467787,.485979201957463,27,32,15,10,7,1
44,0,.69578313253012,.685897435897436,.660377358490566,.363636363636364,1225.19727891156,1186.97902097902,1021.29166666667,1173,1025.2,1309.84615384615,1114.21052631579,1508.73333333333,1307.55555555556,1207,.313084112149533,.111111111111111,.375,.2,.444444444444444,.230769230769231,.482758620689655,.181818181818182,.423076923076923,.615384615384615,.266666666666667,.3,.166666666666667,-.0194444444444445,.337179487179487,20,45,17,15,13,0
46,0,.954819277108434,.958333333333333,.506410256410256,.486111111111111,1080.16783216783,1042.11111111111,909.166666666667,956.4375,1016.52777777778,982.666666666667,1098.16216216216,1066.97297297297,1196,1090.62857142857,.0434782608695652,.0769230769230769,.0571428571428571,.027027027027027,.0833333333333333,0,.0263157894736842,0,.075,.512820512820513,.363636363636364,.555555555555556,.5,.0760865260865261,.483003108003108,16,40,15,11,14,1
48,0,.957831325301205,.971153846153846,.512658227848101,.490066225165563,780.003401360544,747.049469964664,699.121212121212,732.323529411765,727.242424242424,684.416666666667,783.71875,773.282051282051,795.789473684211,771.842105263158,.0297029702970297,.0526315789473684,.0540540540540541,.0789473684210526,0,.0277777777777778,0,.025,0,.486486486486487,.461538461538462,.472222222222222,.538461538461538,-.0803698435277383,.489677177177177,15,43,17,11,15,1
1,1,.759036144578313,.756410256410256,.878787878787879,.103448275862069,897.836956521739,815.061797752809,865.333333333333,822.285714285714,1035.1875,1031.05263157895,709.777777777778,720,730.793103448276,770.739130434783,.223628691983122,.296296296296296,.148148148148148,.428571428571429,.269230769230769,.151515151515152,.181818181818182,.194444444444444,.148148148148148,.2,.0555555555555556,0,.130434782608696,-.0111925111925112,.0964975845410628,23,49,19,14,16,0
