subj	block	trial	task_cue	task	choice_resp	choiceRT	choice_acc	topnum	topsize	botnum	botsize	cong	task_resp	taskRT	task_acc	RSI	CSI	altRep	E1
128	2	45	N	N	d	852.77	0	4	24	7	56	c	n	1152.68	1	1000	100	1	0
128	2	46	N	N	d	435.94	0	2	24	9	56	c	n	886.18	1	1000	1000	0	0
128	2	47	P	P	f	886.14	1	9	56	4	24	c	j	1353.52	1	100	100	1	0
128	2	48	P	P	f	836.18	1	3	24	7	56	c	n	852.63	1	1000	100	0	0
128	2	49	P	P	f	736.17	1	2	56	9	24	i	j	1168.82	1	100	100	0	0
128	2	50	P	P	f	753.24	1	7	56	3	24	c	j	719.06	1	1000	100	0	0
128	2	51	N	N	d	985.85	0	9	56	2	24	c	j	952.91	1	1000	1000	1	0
128	2	52	P	P	d	535.82	1	7	56	4	24	c	j	2805.18	1	1000	1000	1	0
128	2	53	N	N	d	1419.46	0	3	56	8	24	i	n	1788.0	1	100	100	1	0
128	2	54	N	N	d	1186.54	0	9	24	2	56	i	j	1369.86	1	1000	1000	0	0
128	2	55	P	P	f	719.75	1	3	24	9	56	c	n	886.25	1	1000	100	1	0
128	2	56	N	N	d	985.92	0	7	56	2	24	c	j	1770.34	1	1000	100	1	0
128	2	57	P	P	f	819.35	1	4	24	7	56	c	n	852.51	1	100	1000	1	0
128	2	58	N	N	d	1086.06	0	2	56	9	24	i	n	2521.26	1	1000	100	1	0
128	2	59	N	N	d	752.39	0	3	24	7	56	c	n	935.84	1	1000	100	0	0
128	2	60	N	N	d	602.58	0	2	24	7	56	c	n	1086.16	1	100	100	0	0
128	2	61	N	N	d	602.32	0	7	56	3	24	c	j	1670.21	1	100	1000	0	0
128	2	62	N	N	d	768.68	0	9	24	2	56	i	j	1786.98	1	100	1000	0	0
128	2	63	P	P	f	969.33	1	4	56	8	24	i	j	1920.85	1	1000	1000	1	0
128	2	64	N	N	d	1353.4	0	2	24	8	56	c	n	1835.63	1	1000	1000	1	0
128	2	65	P	P	f	752.72	1	3	56	7	24	i	j	1203.24	1	1000	100	1	0
128	3	1	N	N	d	1253.63	0	9	56	4	24	c	j	2270.95	1	1000	1000	-1	0
128	3	2	N	N	d	1170.31	0	2	56	8	24	i	n	901.43	1	100	1000	0	0
128	3	3	P	P	f	1019.3	1	3	56	7	24	i	j	2254.2	1	1000	100	1	0
128	3	4	P	P	f	969.83	1	2	24	9	56	c	n	1520.2	1	1000	100	0	0
128	3	5	P	P	f	885.41	1	8	24	4	56	i	n	1186.15	1	100	100	0	0
128	3	6	N	N	d	919.68	0	3	24	7	56	c	n	3338.4	1	1000	1000	1	0
128	3	7	N	N	d	584.89	0	4	24	7	56	c	n	1069.46	1	1000	1000	0	0
128	3	8	N	N	d	385.67	0	8	24	2	56	i	j	1169.73	1	1000	1000	0	0
128	3	9	P	P	f	869.71	1	3	56	7	24	i	j	1403.08	1	1000	1000	1	0
128	3	10	P	P	f	569.56	1	4	24	7	56	c	n	1053.21	1	100	1000	0	0
128	3	11	P	P	f	1152.92	1	9	56	2	24	c	j	1286.57	1	1000	1000	0	0
128	3	12	N	N	d	769.12	0	7	56	3	24	c	j	1553.41	1	100	1000	1	0
128	3	13	N	N	d	735.82	0	8	56	4	24	c	j	1270.99	1	100	100	0	0
128	3	14	P	P	f	669.12	1	9	24	2	56	i	n	1520.55	1	1000	1000	1	0
128	3	15	N	N	d	936.32	0	7	24	4	56	i	j	2271.11	1	1000	1000	1	0
128	3	16	P	P	f	836.04	1	9	56	2	24	c	j	818.93	1	100	1000	1	0
128	3	17	N	N	d	836.76	0	7	56	3	24	c	j	1435.58	1	1000	100	1	0
