subj	block	trial	task_cue	task	choice_resp	choiceRT	choice_acc	topnum	topsize	botnum	botsize	cong	task_resp	taskRT	task_acc	RSI	CSI	altRep	E1
184	2	16	P	P	d	438.32	1	2	24	9	56	c	n	507.6	1	1000	100	1	0
184	2	17	P	P	d	722.8	1	7	56	3	24	c	j	394.41	1	100	1000	0	0
184	2	18	P	P	d	433.04	1	4	24	8	56	c	n	449.99	1	1000	1000	0	0
184	2	19	P	P	d	483.76	1	3	24	8	56	c	n	863.43	1	100	100	0	0
184	2	20	N	N	f	1267.28	0	4	24	8	56	c	n	1126.33	1	1000	100	1	0
184	2	21	P	P	d	757.53	1	2	56	8	24	i	j	1565.72	1	100	1000	1	0
184	2	22	P	P	d	550.27	1	3	56	9	24	i	j	1080.84	1	100	100	0	0
184	2	23	P	P	d	615.45	1	4	24	8	56	c	n	618.56	1	1000	100	0	0
184	2	24	P	P	d	514.93	1	3	24	7	56	c	n	494.21	1	100	1000	0	0
184	2	25	N	N	f	647.2	0	2	24	7	56	c	n	705.84	1	100	1000	1	0
184	2	26	N	N	f	1057.2	0	4	24	9	56	c	n	946.65	1	1000	1000	0	0
184	2	27	P	P	d	1819.05	1	8	24	3	56	i	n	980.34	1	1000	100	1	0
184	2	28	P	P	d	514.13	1	9	24	4	56	i	n	784.84	1	1000	1000	0	0
184	2	29	N	N	f	630.89	0	7	56	3	24	c	j	696.53	1	1000	100	1	0
184	2	30	N	N	f	457.56	0	7	24	4	56	i	j	1690.21	1	100	1000	0	0
184	2	31	N	N	f	721.21	0	3	56	9	24	i	n	763.68	1	100	1000	0	0
184	2	32	P	P	d	750.83	1	4	56	9	24	i	j	1001.64	1	1000	1000	1	0
184	2	33	N	N	f	1992.45	0	2	56	8	24	i	n	824.81	1	1000	100	1	0
184	2	34	N	N	f	721.23	0	8	56	4	24	c	j	1012.2	1	1000	1000	0	0
184	2	35	N	N	f	680.9	0	9	24	2	56	i	j	572.32	1	1000	100	0	0
