"subj" "trialCumul" "sr" "exp"
"223" 4 1 "Imburgio first 64"
"223" 5 1 "Imburgio first 64"
"223" 6 1 "Imburgio first 64"
"223" 7 1 "Imburgio first 64"
"223" 9 0 "Imburgio first 64"
"223" 10 1 "Imburgio first 64"
"223" 11 1 "Imburgio first 64"
"223" 12 1 "Imburgio first 64"
"223" 13 0 "Imburgio first 64"
"223" 14 1 "Imburgio first 64"
"223" 15 1 "Imburgio first 64"
"223" 17 1 "Imburgio first 64"
"223" 19 1 "Imburgio first 64"
"223" 22 0 "Imburgio first 64"
"223" 24 0 "Imburgio first 64"
"223" 25 1 "Imburgio first 64"
"223" 27 1 "Imburgio first 64"
"223" 29 1 "Imburgio first 64"
"223" 30 1 "Imburgio first 64"
"223" 31 1 "Imburgio first 64"
"223" 32 0 "Imburgio first 64"
"223" 33 1 "Imburgio first 64"
"223" 34 0 "Imburgio first 64"
"223" 35 1 "Imburgio first 64"
"223" 36 1 "Imburgio first 64"
"223" 37 1 "Imburgio first 64"
"223" 38 1 "Imburgio first 64"
"223" 39 1 "Imburgio first 64"
"223" 42 1 "Imburgio first 64"
"223" 43 0 "Imburgio first 64"
"223" 44 0 "Imburgio first 64"
"223" 47 1 "Imburgio first 64"
"223" 50 1 "Imburgio first 64"
"223" 51 1 "Imburgio first 64"
"223" 52 1 "Imburgio first 64"
"223" 54 1 "Imburgio first 64"
"223" 55 1 "Imburgio first 64"
"223" 56 1 "Imburgio first 64"
"223" 57 0 "Imburgio first 64"
"223" 58 0 "Imburgio first 64"
"223" 60 1 "Imburgio first 64"
"223" 61 1 "Imburgio first 64"
"223" 62 1 "Imburgio first 64"
"221" 2 0 "Imburgio first 64"
"221" 3 0 "Imburgio first 64"
"221" 4 1 "Imburgio first 64"
"221" 5 0 "Imburgio first 64"
"221" 6 0 "Imburgio first 64"
"221" 7 1 "Imburgio first 64"
"221" 8 0 "Imburgio first 64"
"221" 9 0 "Imburgio first 64"
"221" 10 0 "Imburgio first 64"
"221" 11 1 "Imburgio first 64"
"221" 12 0 "Imburgio first 64"
"221" 13 1 "Imburgio first 64"
"221" 14 1 "Imburgio first 64"
"221" 15 0 "Imburgio first 64"
"221" 16 0 "Imburgio first 64"
"221" 17 1 "Imburgio first 64"
"221" 18 0 "Imburgio first 64"
"221" 19 0 "Imburgio first 64"
"221" 20 1 "Imburgio first 64"
"221" 21 0 "Imburgio first 64"
"221" 22 0 "Imburgio first 64"
"221" 23 0 "Imburgio first 64"
"221" 25 0 "Imburgio first 64"
"221" 26 0 "Imburgio first 64"
"221" 27 0 "Imburgio first 64"
"221" 28 0 "Imburgio first 64"
"221" 29 1 "Imburgio first 64"
"221" 30 0 "Imburgio first 64"
"221" 31 1 "Imburgio first 64"
"221" 32 0 "Imburgio first 64"
"221" 33 1 "Imburgio first 64"
"221" 34 0 "Imburgio first 64"
"221" 35 0 "Imburgio first 64"
"221" 36 0 "Imburgio first 64"
"221" 37 1 "Imburgio first 64"
"221" 38 0 "Imburgio first 64"
"221" 40 0 "Imburgio first 64"
"221" 41 0 "Imburgio first 64"
"221" 42 1 "Imburgio first 64"
"221" 43 1 "Imburgio first 64"
"221" 44 1 "Imburgio first 64"
"221" 45 0 "Imburgio first 64"
"221" 46 0 "Imburgio first 64"
"221" 47 1 "Imburgio first 64"
"221" 48 0 "Imburgio first 64"
"221" 49 0 "Imburgio first 64"
"221" 50 0 "Imburgio first 64"
"221" 51 1 "Imburgio first 64"
"221" 52 0 "Imburgio first 64"
"221" 53 0 "Imburgio first 64"
"221" 54 0 "Imburgio first 64"
"221" 55 1 "Imburgio first 64"
"221" 56 0 "Imburgio first 64"
"221" 57 0 "Imburgio first 64"
"221" 58 0 "Imburgio first 64"
"221" 59 1 "Imburgio first 64"
"221" 60 0 "Imburgio first 64"
"221" 61 0 "Imburgio first 64"
"221" 62 0 "Imburgio first 64"
"221" 63 1 "Imburgio first 64"
"221" 64 0 "Imburgio first 64"
"219" 2 1 "Imburgio first 64"
"219" 3 0 "Imburgio first 64"
"219" 4 0 "Imburgio first 64"
"219" 5 1 "Imburgio first 64"
"219" 6 0 "Imburgio first 64"
"219" 7 1 "Imburgio first 64"
"219" 8 0 "Imburgio first 64"
"219" 9 1 "Imburgio first 64"
"219" 10 0 "Imburgio first 64"
"219" 11 0 "Imburgio first 64"
"219" 12 1 "Imburgio first 64"
"219" 13 0 "Imburgio first 64"
"219" 14 0 "Imburgio first 64"
"219" 15 0 "Imburgio first 64"
"219" 17 0 "Imburgio first 64"
"219" 18 0 "Imburgio first 64"
"219" 19 1 "Imburgio first 64"
"219" 20 0 "Imburgio first 64"
"219" 21 1 "Imburgio first 64"
"219" 22 0 "Imburgio first 64"
"219" 23 1 "Imburgio first 64"
"219" 24 1 "Imburgio first 64"
"219" 25 1 "Imburgio first 64"
"219" 26 0 "Imburgio first 64"
"219" 27 0 "Imburgio first 64"
"219" 28 1 "Imburgio first 64"
"219" 29 0 "Imburgio first 64"
"219" 30 0 "Imburgio first 64"
"219" 31 0 "Imburgio first 64"
"219" 32 1 "Imburgio first 64"
"219" 33 0 "Imburgio first 64"
"219" 34 1 "Imburgio first 64"
"219" 35 1 "Imburgio first 64"
"219" 36 1 "Imburgio first 64"
"219" 37 0 "Imburgio first 64"
"219" 38 1 "Imburgio first 64"
"219" 39 0 "Imburgio first 64"
"219" 40 0 "Imburgio first 64"
"219" 41 1 "Imburgio first 64"
"219" 42 0 "Imburgio first 64"
"219" 43 0 "Imburgio first 64"
"219" 44 0 "Imburgio first 64"
"219" 45 1 "Imburgio first 64"
"219" 46 0 "Imburgio first 64"
"219" 47 1 "Imburgio first 64"
"219" 48 1 "Imburgio first 64"
"219" 49 0 "Imburgio first 64"
"219" 50 0 "Imburgio first 64"
"219" 51 1 "Imburgio first 64"
"219" 52 0 "Imburgio first 64"
"219" 53 0 "Imburgio first 64"
"219" 54 1 "Imburgio first 64"
"219" 55 0 "Imburgio first 64"
"219" 57 0 "Imburgio first 64"
"219" 58 1 "Imburgio first 64"
"219" 59 1 "Imburgio first 64"
"219" 60 1 "Imburgio first 64"
"219" 61 0 "Imburgio first 64"
"219" 62 1 "Imburgio first 64"
"219" 64 0 "Imburgio first 64"
"217" 2 1 "Imburgio first 64"
"217" 3 0 "Imburgio first 64"
"217" 4 1 "Imburgio first 64"
"217" 5 1 "Imburgio first 64"
"217" 6 0 "Imburgio first 64"
"217" 7 1 "Imburgio first 64"
"217" 8 0 "Imburgio first 64"
"217" 9 0 "Imburgio first 64"
"217" 10 1 "Imburgio first 64"
"217" 11 0 "Imburgio first 64"
"217" 12 0 "Imburgio first 64"
"217" 13 1 "Imburgio first 64"
"217" 14 1 "Imburgio first 64"
"217" 15 0 "Imburgio first 64"
"217" 16 1 "Imburgio first 64"
"217" 17 0 "Imburgio first 64"
"217" 18 1 "Imburgio first 64"
"217" 19 1 "Imburgio first 64"
"217" 20 1 "Imburgio first 64"
"217" 21 0 "Imburgio first 64"
"217" 22 0 "Imburgio first 64"
"217" 23 1 "Imburgio first 64"
"217" 24 0 "Imburgio first 64"
"217" 25 1 "Imburgio first 64"
"217" 26 1 "Imburgio first 64"
"217" 27 1 "Imburgio first 64"
"217" 28 1 "Imburgio first 64"
"217" 29 0 "Imburgio first 64"
"217" 30 1 "Imburgio first 64"
"217" 31 0 "Imburgio first 64"
"217" 32 1 "Imburgio first 64"
"217" 34 0 "Imburgio first 64"
"217" 35 0 "Imburgio first 64"
"217" 36 1 "Imburgio first 64"
"217" 37 0 "Imburgio first 64"
"217" 38 1 "Imburgio first 64"
"217" 39 0 "Imburgio first 64"
