"subj" "trialCumul" "sr" "exp"
"14" 41 0 "Frober E1 Vol First 64 trials"
"14" 42 0 "Frober E1 Vol First 64 trials"
"14" 44 0 "Frober E1 Vol First 64 trials"
"14" 45 0 "Frober E1 Vol First 64 trials"
"14" 46 1 "Frober E1 Vol First 64 trials"
"14" 47 1 "Frober E1 Vol First 64 trials"
"14" 48 0 "Frober E1 Vol First 64 trials"
"14" 49 0 "Frober E1 Vol First 64 trials"
"14" 50 0 "Frober E1 Vol First 64 trials"
"14" 51 0 "Frober E1 Vol First 64 trials"
"14" 52 0 "Frober E1 Vol First 64 trials"
"14" 53 1 "Frober E1 Vol First 64 trials"
"14" 54 0 "Frober E1 Vol First 64 trials"
"14" 55 1 "Frober E1 Vol First 64 trials"
"14" 56 1 "Frober E1 Vol First 64 trials"
"14" 57 1 "Frober E1 Vol First 64 trials"
"14" 59 0 "Frober E1 Vol First 64 trials"
"14" 61 0 "Frober E1 Vol First 64 trials"
"14" 62 0 "Frober E1 Vol First 64 trials"
"14" 63 0 "Frober E1 Vol First 64 trials"
"14" 64 0 "Frober E1 Vol First 64 trials"
"15" 2 1 "Frober E1 Vol First 64 trials"
"15" 3 0 "Frober E1 Vol First 64 trials"
"15" 4 1 "Frober E1 Vol First 64 trials"
"15" 5 0 "Frober E1 Vol First 64 trials"
"15" 6 0 "Frober E1 Vol First 64 trials"
"15" 7 0 "Frober E1 Vol First 64 trials"
"15" 8 1 "Frober E1 Vol First 64 trials"
"15" 9 0 "Frober E1 Vol First 64 trials"
"15" 10 0 "Frober E1 Vol First 64 trials"
"15" 11 1 "Frober E1 Vol First 64 trials"
"15" 12 0 "Frober E1 Vol First 64 trials"
"15" 13 0 "Frober E1 Vol First 64 trials"
"15" 15 0 "Frober E1 Vol First 64 trials"
"15" 16 0 "Frober E1 Vol First 64 trials"
"15" 17 0 "Frober E1 Vol First 64 trials"
"15" 18 0 "Frober E1 Vol First 64 trials"
"15" 19 1 "Frober E1 Vol First 64 trials"
"15" 21 0 "Frober E1 Vol First 64 trials"
"15" 22 0 "Frober E1 Vol First 64 trials"
"15" 23 0 "Frober E1 Vol First 64 trials"
"15" 24 0 "Frober E1 Vol First 64 trials"
"15" 25 1 "Frober E1 Vol First 64 trials"
"15" 26 0 "Frober E1 Vol First 64 trials"
"15" 27 0 "Frober E1 Vol First 64 trials"
"15" 28 0 "Frober E1 Vol First 64 trials"
"15" 29 1 "Frober E1 Vol First 64 trials"
"15" 30 1 "Frober E1 Vol First 64 trials"
"15" 31 1 "Frober E1 Vol First 64 trials"
"15" 32 0 "Frober E1 Vol First 64 trials"
"15" 33 0 "Frober E1 Vol First 64 trials"
"15" 34 1 "Frober E1 Vol First 64 trials"
"15" 35 1 "Frober E1 Vol First 64 trials"
"15" 36 1 "Frober E1 Vol First 64 trials"
"15" 37 0 "Frober E1 Vol First 64 trials"
"15" 38 0 "Frober E1 Vol First 64 trials"
"15" 39 0 "Frober E1 Vol First 64 trials"
"15" 41 1 "Frober E1 Vol First 64 trials"
"15" 42 0 "Frober E1 Vol First 64 trials"
"15" 43 0 "Frober E1 Vol First 64 trials"
"15" 44 0 "Frober E1 Vol First 64 trials"
"15" 45 0 "Frober E1 Vol First 64 trials"
"15" 46 1 "Frober E1 Vol First 64 trials"
"15" 47 1 "Frober E1 Vol First 64 trials"
"15" 48 1 "Frober E1 Vol First 64 trials"
"15" 49 0 "Frober E1 Vol First 64 trials"
"15" 50 1 "Frober E1 Vol First 64 trials"
"15" 51 0 "Frober E1 Vol First 64 trials"
"15" 52 0 "Frober E1 Vol First 64 trials"
"15" 53 0 "Frober E1 Vol First 64 trials"
"15" 54 1 "Frober E1 Vol First 64 trials"
"15" 55 0 "Frober E1 Vol First 64 trials"
"15" 56 1 "Frober E1 Vol First 64 trials"
"15" 57 1 "Frober E1 Vol First 64 trials"
"15" 58 1 "Frober E1 Vol First 64 trials"
"15" 59 0 "Frober E1 Vol First 64 trials"
"15" 60 0 "Frober E1 Vol First 64 trials"
"15" 61 1 "Frober E1 Vol First 64 trials"
"15" 62 1 "Frober E1 Vol First 64 trials"
"15" 63 0 "Frober E1 Vol First 64 trials"
"15" 64 0 "Frober E1 Vol First 64 trials"
"16" 2 0 "Frober E1 Vol First 64 trials"
"16" 3 1 "Frober E1 Vol First 64 trials"
"16" 4 0 "Frober E1 Vol First 64 trials"
"16" 5 0 "Frober E1 Vol First 64 trials"
"16" 6 0 "Frober E1 Vol First 64 trials"
"16" 7 0 "Frober E1 Vol First 64 trials"
"16" 8 0 "Frober E1 Vol First 64 trials"
"16" 10 1 "Frober E1 Vol First 64 trials"
"16" 11 1 "Frober E1 Vol First 64 trials"
"16" 12 1 "Frober E1 Vol First 64 trials"
"16" 13 1 "Frober E1 Vol First 64 trials"
"16" 14 0 "Frober E1 Vol First 64 trials"
"16" 15 0 "Frober E1 Vol First 64 trials"
"16" 16 0 "Frober E1 Vol First 64 trials"
"16" 17 0 "Frober E1 Vol First 64 trials"
"16" 18 1 "Frober E1 Vol First 64 trials"
"16" 20 0 "Frober E1 Vol First 64 trials"
"16" 21 1 "Frober E1 Vol First 64 trials"
"16" 22 0 "Frober E1 Vol First 64 trials"
"16" 23 0 "Frober E1 Vol First 64 trials"
"16" 25 1 "Frober E1 Vol First 64 trials"
"16" 26 1 "Frober E1 Vol First 64 trials"
"16" 27 1 "Frober E1 Vol First 64 trials"
"16" 28 0 "Frober E1 Vol First 64 trials"
"16" 30 0 "Frober E1 Vol First 64 trials"
"16" 32 0 "Frober E1 Vol First 64 trials"
"16" 33 0 "Frober E1 Vol First 64 trials"
"16" 34 0 "Frober E1 Vol First 64 trials"
"16" 35 0 "Frober E1 Vol First 64 trials"
"16" 36 0 "Frober E1 Vol First 64 trials"
